sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
37,pun,tolkien,tolkien,0,0,0.0150905,0.00136054,3.53E-06
37,pun,tolkien,night,-0.421807519,-0.284385257,0.276901,0.276901,0.00028189
37,pun,tolkien,kept,-0.910268591,-0.487771094,1.09E-05,1.09E-05,0.000109856
37,pun,tolkien,dreaming,-0.13577103,-0.35620347,4.30E-05,4.30E-05,6.31E-06
37,pun,tolkien,written,0.446306691,0.657206796,0.00212419,0.00212419,0.000107783
37,pun,tolkien,lord,1.160735078,-0.456126881,7.45E-07,7.45E-07,0.000127756
37,pun,tolkien,rings,1.387542586,-0.938879858,2.35E-05,2.35E-05,1.24E-05
37,pun,tolkien,wife,-0.607085823,0.180393523,0.000173017,0.000173017,0.000132324
37,pun,tolkien,said,-0.416466233,1.559672555,0.00139775,0.00139775,0.001573933
37,pun,tolkien,i'd,-0.866508438,-0.768492084,1.89E-09,1.89E-09,4.55E-07
37,pun,tolkien,sleep,-0.659335913,-0.549401899,0.00128327,0.00128327,5.81E-05
38,pun,magnate,magnate,0,0,1.80E-06,7.41E-05,1.27E-06
38,pun,magnate,people,-0.431309807,-0.033286014,0.0895409,0.0895409,0.000974418
38,pun,magnate,strongly,0.205205301,0.624197061,0.000324916,0.000324916,3.65E-05
38,pun,magnate,attracted,0.279602196,0.432189381,0.0117171,0.0117171,2.25E-05
39,pun,raven,raven,0,0,3.76E-06,2.96E-05,1.59E-06
39,pun,raven,people,-0.692477372,0.051942857,0.0895409,0.0895409,0.000974418
39,pun,raven,think,-0.547426766,-0.366756378,0.00534721,0.00534721,0.000704851
39,pun,raven,edgar,0.755989354,0.668814932,0.00125842,0.00125842,4.37E-06
39,pun,raven,allan,0.05910036,-0.860964863,0.0576145,0.0576145,8.29E-06
39,pun,raven,poe,1.347726463,-0.146664918,0.0576145,0.0576145,4.96E-07
39,pun,raven,madman,0.102235812,1.408360872,6.35E-07,7.69E-07,1.16E-06
40,pun,alkaline,alkaline,0,0,4.11E-05,6.03E-05,2.69E-06
40,pun,alkaline,battery,1.206701171,-0.792668572,2.83E-06,2.83E-06,1.04E-05
40,pun,alkaline,problem,-0.860713606,0.867494647,5.02E-05,0.192777,0.000230092
40,pun,alkaline,went,-0.731474167,-0.800999628,0.00737786,0.00737786,0.00036822
40,pun,alkaline,aa,1.043341239,1.622194218,3.11E-08,3.11E-08,3.89E-06
40,pun,alkaline,meetings,-1.072710013,0.198383999,4.79E-05,4.79E-05,4.24E-05
41,pun,shave,shave,0,0,1.02E-06,2.49E-06,2.55E-06
41,pun,shave,boss,-0.507400464,1.072828636,0.00207698,0.00207698,2.58E-05
41,pun,shave,not,-0.891280856,-0.47745673,0.29367,0.29367,0.00346259
41,pun,shave,tolerate,-0.737205823,-0.613686324,0.000149743,0.000149743,4.96E-06
41,pun,shave,beards,0.734259357,0.288613041,8.55E-07,8.55E-07,9.84E-07
41,pun,shave,mustaches,1.325039479,-0.865224467,7.50E-07,7.50E-07,8.13E-09
41,pun,shave,real,-0.664275018,-0.3940021,0.00551477,0.00551477,0.000182773
41,pun,shave,driver,-0.643777786,0.272936473,2.24E-05,0.00208037,4.16E-05
42,pun,aiken,aiken,0,0,0.00770689,1.43E-06,2.68E-07
42,pun,aiken,heart,-0.724771037,0.661308045,0.0107335,0.0107335,0.000107336
42,pun,aiken,starts,-0.748234784,-0.643347041,0.000196909,0.000196909,3.25E-05
42,pun,aiken,clay,1.199433985,-0.415952447,7.39E-06,7.39E-06,1.28E-05
42,pun,aiken,sings,0.441021487,-0.710184521,4.06E-06,4.06E-06,2.50E-06
43,pun,irrigation,irrigation,0,0,1.45E-06,0.000660083,2.22E-06
43,pun,irrigation,neighbor's,-0.730225151,-0.269612334,0.000108712,0.000108712,8.13E-09
43,pun,irrigation,sprinkler,1.742975516,-0.685323601,1.87E-06,1.87E-06,7.48E-07
43,pun,irrigation,constant,-0.510609373,0.187268811,0.00241929,0.00241929,4.08E-05
44,pun,auntie,auntie,0,0,1.91E-07,3.26E-06,5.16E-06
44,pun,auntie,uncles,1.798489909,-0.55978999,0.0038744,0.0038744,1.77E-06
44,pun,auntie,bet,-0.827928535,0.057568964,4.82E-06,4.82E-06,2.18E-05
44,pun,auntie,get,-1.015647941,-0.610300289,0.00442361,0.00442361,0.000769103
44,pun,auntie,married,-0.203961453,-1.055707502,0.00434599,0.00434599,7.88E-05
44,pun,auntie,upped,-0.802963762,1.005601192,1.56E-07,1.56E-07,4.88E-07
45,pun,fuchsia,fuchsia,0,0,1.28E-07,0.0017513,4.06E-07
45,pun,fuchsia,new,-0.870415876,0.425859064,2.44E-05,2.44E-05,0.000999228
45,pun,fuchsia,years,-0.950474383,0.794137854,0.000103574,0.000103574,0.000713492
45,pun,fuchsia,resolution,-0.686168064,0.401406128,6.70E-06,6.70E-06,2.91E-05
45,pun,fuchsia,bankrupt,-0.980582098,0.111994684,3.52E-06,3.52E-06,5.80E-06
45,pun,fuchsia,gardener,-0.025247262,-0.594976527,2.70E-06,2.70E-06,5.93E-06
45,pun,fuchsia,forget,-0.843243559,-0.184145143,0.000360568,0.000360568,4.75E-05
45,pun,fuchsia,past,-1.001058143,1.353347814,0.0118078,0.0118078,0.000204266
45,pun,fuchsia,rely,-0.768492084,-0.828824356,1.73E-05,1.73E-05,2.15E-05
46,pun,till,till,0,0,1.36E-05,0.00121839,4.30E-05
46,pun,till,organic,-0.061528485,-0.622130709,1.77E-05,1.77E-05,1.71E-05
46,pun,till,farms,1.384527455,-0.928333605,0.00472282,0.00472282,1.46E-05
46,pun,till,like,-0.785873486,-0.154158423,0.00150706,0.0526563,0.001186943
47,pun,house,house,0,0,2.06E-05,1.09E-05,0.000395396
47,pun,house,real,-0.688196007,-0.617130283,0.000104851,0.000104851,0.000182773
47,pun,house,estate,1.351042085,-1.028844296,0.00329224,0.00329224,4.21E-05
47,pun,house,agent,-0.031082829,-0.768492084,0.0285993,0.0285993,3.43E-05
47,pun,house,said,-0.757080802,-0.888097097,0.00739838,0.00739838,0.001573933
47,pun,house,going,-0.330278008,0.279061587,0.000228197,0.401898,0.000507731
48,pun,eire,eire,0,0,0.00255539,0.000250077,1.29E-06
48,pun,eire,people,-0.552208408,-0.080619354,4.75E-05,4.75E-05,0.000974418
48,pun,eire,happy,-0.676615169,-0.337994211,0.00147488,0.00147488,9.14E-05
48,pun,eire,time,-0.736867675,-0.512384139,0.0247114,0.0247114,0.001239318
48,pun,eire,vacationing,-0.58497285,-0.773259387,2.33E-08,2.33E-08,4.06E-08
48,pun,eire,ireland,0.259286594,-0.805463266,1.05E-08,1.05E-08,7.70E-05
48,pun,eire,walking,-0.761443572,-0.564388988,0.00020439,0.00020439,5.10E-05
49,pun,alp,alp,0,0,3.81E-09,0.00273021,1.09E-06
49,pun,alp,people,-0.708886898,0.408733728,4.75E-05,4.75E-05,0.000974418
49,pun,alp,switzerland,1.454584429,-0.725940798,0.00101516,0.00101516,1.22E-05
49,pun,alp,learn,-0.89684315,0.503757112,0.000706582,0.000706582,6.55E-05
49,pun,alp,ski,1.272672278,-0.475677545,0.00342662,0.00342662,7.08E-06
49,pun,alp,lot,-0.581380651,-0.472152614,0.00675467,0.00675467,0.000223117
50,pun,garden,garden,0,0,1.11E-05,1.49E-06,8.72E-05
50,pun,garden,scarecrows,1.197760582,0.752424307,2.14E-08,2.14E-08,1.14E-07
